WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND
CLOUDY/OVERCAST,DAYLIGHT,DRY
SNOW,DAYLIGHT,SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DARKNESS,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
FREEZING RAIN/DRIZZLE,DAYLIGHT,WET
SNOW,DAWN,SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DARKNESS,WET
SNOW,"DARKNESS, LIGHTED ROAD",SNOW OR SLUSH
RAIN,DARKNESS,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DARKNESS,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
FREEZING RAIN/DRIZZLE,"DARKNESS, LIGHTED ROAD",ICE
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAWN,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAWN,WET
RAIN,DUSK,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DARKNESS,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAWN,WET
CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
SNOW,"DARKNESS, LIGHTED ROAD",ICE
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
SNOW,DARKNESS,SNOW OR SLUSH
SNOW,"DARKNESS, LIGHTED ROAD",SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
SNOW,DAYLIGHT,SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
SNOW,DAYLIGHT,SNOW OR SLUSH
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAWN,WET
RAIN,DAWN,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
SNOW,"DARKNESS, LIGHTED ROAD",ICE
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAWN,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",WET
RAIN,DARKNESS,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
SNOW,"DARKNESS, LIGHTED ROAD",SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAWN,WET
RAIN,DAYLIGHT,WET
SNOW,DAYLIGHT,SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAWN,WET
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAWN,WET
RAIN,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DUSK,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAWN,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,DAWN,WET
SNOW,"DARKNESS, LIGHTED ROAD",SNOW OR SLUSH
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
FOG/SMOKE/HAZE,DAYLIGHT,OTHER
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DARKNESS,WET
RAIN,DAYLIGHT,WET
SNOW,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DAYLIGHT,WET
SNOW,DAYLIGHT,SNOW OR SLUSH
SNOW,DAWN,WET
RAIN,DAYLIGHT,WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,"DARKNESS, LIGHTED ROAD",WET
RAIN,DARKNESS,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
CLOUDY/OVERCAST,DAYLIGHT,DRY
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
RAIN,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
CLOUDY/OVERCAST,DAYLIGHT,WET
CLOUDY/OVERCAST,DAYLIGHT,DRY
